Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
76	:	1757866748.901	    46.022	0	0	0	0	run_single_attr_job 76 avg_nodes avg_nodes_seed1 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_1409-run:v19 Jaco LiftCylinder scale 0 0.9996 1409
77	:	1757866750.485	    44.689	0	0	0	0	run_single_attr_job 77 avg_nodes avg_nodes_seed3 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_2008-run:v18 Jaco LiftCylinder scale 0 0.9996 2008
78	:	1757866750.496	    44.734	0	0	0	0	run_single_attr_job 78 avg_nodes avg_nodes_seed2 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_3296-run:v18 Jaco LiftCylinder scale 0 0.9996 3296
79	:	1757866752.791	    47.226	0	0	0	0	run_single_attr_job 79 avg_nodes avg_nodes_seed1 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_1409-run:v19 Kinova3 LiftBall scale 0 0.9996 1409
80	:	1757866761.718	    45.500	0	0	0	0	run_single_attr_job 80 avg_nodes avg_nodes_seed3 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_2008-run:v18 Kinova3 LiftBall scale 0 0.9996 2008
86	:	1757866807.230	     6.062	0	0	0	0	run_single_attr_job 86 avg_nodes avg_nodes_seed3 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_2008-run:v18 Jaco LiftBall density 6 2000.00 2008
81	:	1757866770.860	    46.892	0	0	0	0	run_single_attr_job 81 avg_nodes avg_nodes_seed2 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_3296-run:v18 Kinova3 LiftBall scale 0 0.9996 3296
84	:	1757866795.240	    46.221	0	0	0	0	run_single_attr_job 84 avg_nodes avg_nodes_seed2 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_3296-run:v18 Kinova3 LiftCylinder scale 0 0.9996 3296
83	:	1757866795.183	    46.796	0	0	0	0	run_single_attr_job 83 avg_nodes avg_nodes_seed3 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_2008-run:v18 Kinova3 LiftCylinder scale 0 0.9996 2008
82	:	1757866794.932	    47.496	0	0	0	0	run_single_attr_job 82 avg_nodes avg_nodes_seed1 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_1409-run:v19 Kinova3 LiftCylinder scale 0 0.9996 1409
85	:	1757866800.026	    42.922	0	0	0	0	run_single_attr_job 85 avg_nodes avg_nodes_seed1 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_1409-run:v19 Jaco LiftBall density 6 2000.00 1409
92	:	1757866842.960	     6.299	0	0	0	0	run_single_attr_job 92 avg_nodes avg_nodes_seed3 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_2008-run:v18 Kinova3 LiftBall density 6 2000.00 2008
91	:	1757866842.438	     7.071	0	0	0	0	run_single_attr_job 91 avg_nodes avg_nodes_seed1 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_1409-run:v19 Kinova3 LiftBall density 6 2000.00 1409
